A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
The SA Democratic Teachers Union,expel.01,"its president ,",,Affirmative,"The SA Democratic Teachers Union ( Sadtu ) has expelled its president , Thobile Ntola , SABC news reported on Monday . "
SABC news,report.01,has expelled,,Affirmative,"The SA Democratic Teachers Union ( Sadtu ) has expelled its president , Thobile Ntola , SABC news reported on Monday . "
Thobile Ntola,allow.01,Vavi to address,,Affirmative,Ntola was suspended last year after allowing Congress of SA Trade Unions general secretary Zwelinzima Vavi to address a union gathering in Port Elizabeth in the Eastern Cape . 
secretary Zwelinzima Vavi,address.02,a union gathering in,,Affirmative,Ntola was suspended last year after allowing Congress of SA Trade Unions general secretary Zwelinzima Vavi to address a union gathering in Port Elizabeth in the Eastern Cape . 
Thobile Ntola,tell.01,expulsion was part of,the SABC,Affirmative,Ntola told the SABC that his expulsion was part of a political conspiracy to silence him . 
Thobile Ntola,know.01,it was,,Affirmative,"I knew it was just to justify how they can take me out of the organisation , says Ntola . "
they,take.01,Thobile Ntola,out of,Affirmative,"I knew it was just to justify how they can take me out of the organisation , says Ntola . "
Thobile Ntola,say.01,I knew,,Affirmative,"I knew it was just to justify how they can take me out of the organisation , says Ntola . "
The provincial union,say.01,it would fight,,Affirmative,"The provincial union said it would fight his expulsion by its national body , while the National Union of Metalworkers of SA ( Numsa ) also criticised the decision to expel him . "
The provincial union,fight.01,his expulsion,,Affirmative,"The provincial union said it would fight his expulsion by its national body , while the National Union of Metalworkers of SA ( Numsa ) also criticised the decision to expel him . "
the National Union of Metalworkers of SA,criticise.01,the decision,,Affirmative,"The provincial union said it would fight his expulsion by its national body , while the National Union of Metalworkers of SA ( Numsa ) also criticised the decision to expel him . "
