A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
EALA,resume.01,business,,Affirmative,EALA is set to resume business after Speaker Zziwa adjourned the house indefinitely . 
Speaker Zziwa,adjourn.01,the House,,Affirmative,EALA is set to resume business after Speaker Zziwa adjourned the house indefinitely . 
the East African Court of Justice,halt.01,censure by,,Affirmative,"AFTER the East African Court of Justice halted Speaker Margaret Zziwa 's censure by the East African Legislative Assembly ( EALA ) members , the House is set to resume business after a one and half month indefinite adjournment . "
the House,resume.01,business,,Affirmative,"AFTER the East African Court of Justice halted Speaker Margaret Zziwa 's censure by the East African Legislative Assembly ( EALA ) members , the House is set to resume business after a one and half month indefinite adjournment . "
Zziwa on April 1,adjourn.01,sittings,,Affirmative,"Zziwa on April 1 , indifinitely adjourned the East African Legislative Assembly ( EALA ) sittings after a motion to remove her from office backfired . "
the regional parliament,resume.01,business,,Affirmative,"However , according to Bobi Odiko the EALA senior public relations officer , the regional parliament was set to resume business starting May 26 in Arusha Tanzania . "
African Legislative Assembly,resume.01,business,,Affirmative,"The East African Legislative Assembly will resume business next week in Arusha Tanzania , and we shall have plenary sessions from Monday 26 to Friday June 6 . "
the East African Court of Justice halted Speaker Margaret Zziwa 's censure by the East African Legislative Assembly -LRB- EALA -RRB- members,have.03,plenary sessions,,Affirmative,"The East African Legislative Assembly will resume business next week in Arusha Tanzania , and we shall have plenary sessions from Monday 26 to Friday June 6 . "
the East African Legislative Assembly -LRB- EALA -RRB-,discuss.01,the EAC budget speech for,,Affirmative,"During the sitting , the Assembly will receive and discuss the EAC budget speech for the financial year 2014/2015 . "
by,deliver.01,the EAC budget speech for the financial year,,Affirmative,"The Budget Speech will be delivered on May 29 , by the chairperson of the Council of Ministers Phyllis J Kandie . "
the East African Legislative Assembly -LRB- EALA -RRB-,consider.01,the East African Community ( EAC ),,Affirmative,"The Assembly is also expected to consider the East African Community ( EAC ) integration ( Education ) Bill 2014 , the EAC Appropriation Bill 2014 and the EAC Supplementary Appropriation Bill 2014 and receive and consider reports from various committees of the Assembly . "
the House,deliberate.01,on,,Affirmative,The House shall also deliberate on the report of the committee on accounts on internal audit systems and the report of the committee on general purpose on the EAC Annual report for the period 2011/2012 . 
by,hold.01,the views held by,,Affirmative,"The statements , comments , or opinions expressed through the use of New Vision Online are those of their respective authors , who are solely responsible for them , and do not necessarily represent the views held by the staff and management of New Vision Online . "
