A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
St John 's Ambulance,use.01,funds raised in,,Affirmative,"St John Ambulance is using funds raised in the South West to deliver first aid training to seven to 11 - year - olds as part of the charity 's aim of teaching 18,000 children in the region by the end of 2014 . "
the charity 's,claim.01,would know,,Affirmative,The charity claims that only a handful of Bristol 's schoolchildren would know what to do if a family member become ill . 
only a handful of,know.01,what to do,,Affirmative,The charity claims that only a handful of Bristol 's schoolchildren would know what to do if a family member become ill . 
Teachers,give.01,a taste of,pupils,Affirmative,"Meanwhile , teachers can give pupils a taste of what the training covers via the Big First Aid Lesson next month . "
George Tarte,say.01,aid is easy,,Affirmative,"First aid training co-ordinator in Bristol , George Tarte ( pictured ) , said first aid is easy to learn , but it is being missed off of the school curriculum . "
"Bristol , George Tarte -LRB- pictured -RRB-",say.01,", we believe",,Affirmative,"He said : At St John Ambulance , we believe that first aid should be as much a part of growing up as learning to cross the road . "
Teachers,believe.01,aid should be,,Affirmative,"He said : At St John Ambulance , we believe that first aid should be as much a part of growing up as learning to cross the road . "
only a minority of schoolchildren,know.01,what to do,,Affirmative,"It 's so easy to learn and can have such an incredible impact on people 's lives but , because it 's not compulsory on the national curriculum , only a minority of schoolchildren would know what to do if one of their classmates or a member of their family became ill or injured . "
new research,show.01,think,,Affirmative,"The call to train more youngsters comes as new research shows that 97 per cent of the area 's teachers think it 's vital to teach essential first aid skills in school , but only 22 per cent of schools offer training . "
97 per cent of,think.01,it 's vital,,Affirmative,"The call to train more youngsters comes as new research shows that 97 per cent of the area 's teachers think it 's vital to teach essential first aid skills in school , but only 22 per cent of schools offer training . "
22 per cent of schools,offer.01,training,,Affirmative,"The call to train more youngsters comes as new research shows that 97 per cent of the area 's teachers think it 's vital to teach essential first aid skills in school , but only 22 per cent of schools offer training . "
Teachers,cite.01,lack of,,Affirmative,"Teachers also cite lack of staff training ( 41 per cent ) , time ( 33 per cent ) and cost ( 26 per cent ) as barriers to introducing lessons into the classroom . "
"Bristol , George Tarte -LRB- pictured -RRB-",say.01,We want as,,Affirmative,"George said : We want as many schools as possible to sign up to the Big First Aid Lesson and take advantage of the funded training we 're able to offer in the Bristol area , this year . "
Teachers,want.01,to sign up to,,Affirmative,"George said : We want as many schools as possible to sign up to the Big First Aid Lesson and take advantage of the funded training we 're able to offer in the Bristol area , this year . "
Teachers,sign.03,to,,Affirmative,"George said : We want as many schools as possible to sign up to the Big First Aid Lesson and take advantage of the funded training we 're able to offer in the Bristol area , this year . "
Teachers,equip.01,a generation,with,Affirmative,"Together , we can equip a generation with the skills to be the difference between a life lost and a life saved . "
St John 's Ambulance,look.01,for,,Affirmative,"St John Ambulance is also looking for new first aid trainers to help meet demand for its training , and are asking the public to get in touch if they are interested . "
St John 's Ambulance,ask.02,to get in touch,the public,Affirmative,"St John Ambulance is also looking for new first aid trainers to help meet demand for its training , and are asking the public to get in touch if they are interested . "
Ambulance,campaign.01,schools to take part,,Affirmative,St John 's Ambulance are campaigning for all schools to take part . 
all schools,take.01,part,,Affirmative,St John 's Ambulance are campaigning for all schools to take part . 
It,make.02,it easier,,Affirmative,It is designed to make it easier for teachers to get across messages about first aid to pupils . 
St John 's Ambulance,say.01,is,,Affirmative,St John Ambulance said the way to combat these figures and save lives is to give all young people basic life - saving skills while they are still in school . 
The group,run.01,"20,000 courses",,Affirmative,"The group runs 20,000 courses at over 240 training venues across the country every year . "
