A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
you,complete.01,registration,,Affirmative,Please click on the link within the confirmation email previously sent you to complete registration . 
"largest bank ,",have.03,a major new shareholder --,,Affirmative,"NEW YORK ( TheStreet ) -- Germany 's largest bank ,   Deutsche Bank ( DB ) , is to have a major new shareholder -- the royal family of Qatar . "
Germany 's largest bank,issue.01,million shares,,Affirmative,"In order to raise capital up to $ 11 billion , the bank is going to be issuing an additional 360 million shares . "
by,own.01,a company owned by,,Affirmative,Shares worth $ 2.4 billion will go to a company owned by Sheikh Hamad Bin Jassim Bin Jabr Al Thani while the rest will be in the form of a rights issue to existing shareholders . 
the bank,need.01,such a major capital infusion,,Affirmative,Why did the bank need such a major capital infusion now ? 
the bank need,need.01,a cushion,,Affirmative,It needs a cushion . 
European regulators,criticize.01,banks,for having,Affirmative,European regulators have criticized the region 's banks for having very thin capital buffers to withstand the financial shocks that plagued the world economy for the past few years . 
banks,have.03,thin capital buffers,,Affirmative,European regulators have criticized the region 's banks for having very thin capital buffers to withstand the financial shocks that plagued the world economy for the past few years . 
the financial shocks,plague.01,the world economy,,Affirmative,European regulators have criticized the region 's banks for having very thin capital buffers to withstand the financial shocks that plagued the world economy for the past few years . 
the region 's banks,have.03,enough capital on,,Affirmative,"Be it the 2008 subprime crisis that started in the U.S. or the eurozone fallout more recently , banks are required to have enough capital on their books to absorb losses . "
the stock market,punish.01,a company,for,Affirmative,"With new equity returns to existing shareholders get diluted , and in some cases the stock market can punish a company for such an action . "
the stock market,push.01,Bank shares,up,Affirmative,"While the market did push up Deutsche Bank shares slightly after the announcement shares are currently down to $ 41.52 , down 14 % for the year to date in an environment the bank 's joint CEOs ,  Anshu Jain and Jurgen Fitschen , have described as challenging . "
the deal,mark.01,another milestone in,,Affirmative,"For Qatar , the deal marks another milestone in its reputation as a major mover and shaker in the world of high finance . "
A controversial investment in Barclays,attract.01,regulator scrutiny,,Affirmative,"A controversial investment in Barclays , dubbed a rescue act , has attracted regulator scrutiny . "
Credit Suisse,have.03,Qatar Holdings LLC,,Affirmative,"Credit Suisse ( CS ) , the Swiss bank , has Qatar Holdings LLC as a major investor , with around a 21 % stake in terms of voting rights . "
Rating agencies,unsparing.01,of,,Affirmative,Rating agencies that have been unsparing of Deutsche Bank recently -- Fitch maintains a negative outlook for the bank despite the capital infusion -- will want the senior management at the bank to be making other improvements around cost efficiency and its investment banking business before changing their minds . 
Fitch,maintain.01,a negative outlook for,,Affirmative,Rating agencies that have been unsparing of Deutsche Bank recently -- Fitch maintains a negative outlook for the bank despite the capital infusion -- will want the senior management at the bank to be making other improvements around cost efficiency and its investment banking business before changing their minds . 
Rating agencies,want.01,the senior management at,,Affirmative,Rating agencies that have been unsparing of Deutsche Bank recently -- Fitch maintains a negative outlook for the bank despite the capital infusion -- will want the senior management at the bank to be making other improvements around cost efficiency and its investment banking business before changing their minds . 
Deutsche Bank 's,dilute.01,equity,,Affirmative,If Deutsche Bank dilutes equity again it might not get an understanding reaction from the markets or from its new Qatari shareholders . 
Deutsche Bank 's,get.01,an understanding reaction from,,Affirmative,If Deutsche Bank dilutes equity again it might not get an understanding reaction from the markets or from its new Qatari shareholders . 
the author,have.03,no position in any of,,Affirmative,At the time of publication the author had no position in any of the stocks mentioned . 
This article,represent.01,the opinion of,,Affirmative,This article represents the opinion of a contributor and not necessarily that of TheStreet or its editorial staff . 
you,log.01,below using,,Affirmative,"To begin commenting right away , you can log in below using your Disqus , Facebook , Twitter , OpenID or Yahoo login credentials . "
you,post.01,a comment as,,Affirmative,"Alternatively , you can post a comment as a guest just by entering an email address . "
